136 5
k mu power error
4.12476e-01 3.03575e-01 1.99228e+03 1.29336e+01
4.17497e-01 2.99341e-01 1.96455e+03 1.27994e+01
4.22513e-01 3.01066e-01 1.93349e+03 1.24256e+01
4.27490e-01 2.98155e-01 1.88163e+03 1.20477e+01
4.32514e-01 2.99565e-01 1.86880e+03 1.19669e+01
4.37523e-01 3.02311e-01 1.82964e+03 1.17921e+01
4.42529e-01 2.99488e-01 1.79472e+03 1.16369e+01
4.47492e-01 2.99963e-01 1.72461e+03 1.10781e+01
4.52484e-01 2.96898e-01 1.73450e+03 1.10935e+01
4.57485e-01 3.03273e-01 1.67847e+03 1.08248e+01
4.62504e-01 2.99918e-01 1.65710e+03 1.07123e+01
4.67518e-01 3.00715e-01 1.59904e+03 1.03819e+01
4.72477e-01 2.98688e-01 1.59963e+03 1.02095e+01
4.77506e-01 2.99248e-01 1.57078e+03 1.00395e+01
4.82523e-01 3.02149e-01 1.54119e+03 9.98476e+00
4.87527e-01 2.99267e-01 1.51322e+03 9.79838e+00
4.92526e-01 3.00226e-01 1.46602e+03 9.45542e+00
4.97516e-01 2.97506e-01 1.45277e+03 9.36682e+00
5.02520e-01 3.01880e-01 1.42621e+03 9.25036e+00
5.07517e-01 3.00913e-01 1.40387e+03 9.16415e+00
5.12541e-01 2.99889e-01 1.37019e+03 8.90351e+00
5.17507e-01 2.99093e-01 1.35782e+03 8.77952e+00
5.22503e-01 2.98771e-01 1.32873e+03 8.63039e+00
5.27527e-01 3.01995e-01 1.29229e+03 8.50339e+00
5.32531e-01 2.99160e-01 1.28455e+03 8.46612e+00
5.37513e-01 3.01036e-01 1.25979e+03 8.21252e+00
5.42499e-01 2.97996e-01 1.24536e+03 8.11409e+00
5.47488e-01 3.01267e-01 1.21381e+03 8.02280e+00
5.52503e-01 3.01044e-01 1.20609e+03 7.92213e+00
5.57538e-01 2.99889e-01 1.18630e+03 7.82051e+00
5.62509e-01 2.99209e-01 1.16542e+03 7.62615e+00
5.67507e-01 2.98474e-01 1.14523e+03 7.57824e+00
5.72510e-01 3.02008e-01 1.11016e+03 7.43261e+00
5.77512e-01 2.99256e-01 1.10614e+03 7.42947e+00
5.82505e-01 3.01011e-01 1.08379e+03 7.21263e+00
5.87495e-01 2.98472e-01 1.06758e+03 7.12024e+00
5.92493e-01 3.00277e-01 1.05537e+03 7.08146e+00
5.97513e-01 3.01315e-01 1.02788e+03 6.94728e+00
6.02547e-01 2.99793e-01 1.01629e+03 6.90381e+00
6.07505e-01 2.99537e-01 9.94288e+02 6.74098e+00
6.12496e-01 2.97870e-01 9.88698e+02 6.68990e+00
6.17513e-01 3.02378e-01 9.54489e+02 6.57040e+00
6.22520e-01 2.99841e-01 9.51197e+02 6.57888e+00
6.27519e-01 3.00078e-01 9.38809e+02 6.41894e+00
6.32521e-01 2.99016e-01 9.22364e+02 6.31798e+00
6.37526e-01 2.99928e-01 8.89459e+02 6.26395e+00
6.42487e-01 3.01350e-01 8.93474e+02 6.26657e+00
6.47486e-01 2.99739e-01 8.77215e+02 6.13904e+00
6.52487e-01 3.00069e-01 8.67797e+02 6.02367e+00
6.57489e-01 2.97857e-01 8.61343e+02 5.99413e+00
6.62501e-01 3.01995e-01 8.34091e+02 5.90433e+00
6.67525e-01 3.00204e-01 8.23531e+02 5.86720e+00
6.72539e-01 3.00099e-01 8.04901e+02 5.77283e+00
6.77512e-01 2.99156e-01 7.91188e+02 5.67507e+00
6.82506e-01 2.99687e-01 7.88036e+02 5.66976e+00
6.87502e-01 3.01203e-01 7.62995e+02 5.58284e+00
6.92508e-01 2.99457e-01 7.51692e+02 5.54284e+00
6.97502e-01 3.00530e-01 7.46852e+02 5.41498e+00
2.24958e-02 5.02600e-01 7.16357e+04 3.37746e+03
2.78517e-02 4.91451e-01 6.05751e+04 3.14679e+03
3.23994e-02 5.01789e-01 5.58572e+04 2.00871e+03
